Date,symbol,name,stock_at_date,predictions
2023-09-05,AAPL,Apple,189.6999969482422,185.25128
2023-09-06,AAPL,Apple,182.91000366210938,187.05664
2023-09-07,AAPL,Apple,177.55999755859375,187.78285
2023-09-08,AAPL,Apple,178.17999267578125,187.20381
2023-09-11,AAPL,Apple,179.36000061035156,185.9971
2023-09-12,AAPL,Apple,176.3000030517578,184.65602
2023-09-13,AAPL,Apple,174.2100067138672,183.00838
2023-09-14,AAPL,Apple,175.74000549316406,181.13445
2023-09-15,AAPL,Apple,175.00999450683594,179.51227
2023-09-18,AAPL,Apple,177.97000122070312,178.11789
2023-09-19,AAPL,Apple,179.07000732421875,177.35635
2023-09-20,AAPL,Apple,175.49000549316406,177.16606
2023-09-21,AAPL,Apple,173.92999267578125,176.93352
2023-09-22,AAPL,Apple,174.7899932861328,176.55551
2023-09-25,AAPL,Apple,176.0800018310547,176.23987
2023-09-26,AAPL,Apple,171.9600067138672,176.13684
2023-09-27,AAPL,Apple,170.42999267578125,175.69876
2023-09-28,AAPL,Apple,170.69000244140625,174.96527
2023-09-29,AAPL,Apple,171.2100067138672,174.17062
2023-10-02,AAPL,Apple,173.75,173.48013
2023-10-03,AAPL,Apple,172.39999389648438,173.2125
2023-10-04,AAPL,Apple,173.66000366210938,173.06244
2023-10-05,AAPL,Apple,174.91000366210938,173.15819
2023-10-06,AAPL,Apple,177.49000549316406,173.52824
2023-10-09,AAPL,Apple,178.99000549316406,174.31316
2023-10-10,AAPL,Apple,178.38999938964844,175.42288
2023-10-11,AAPL,Apple,179.8000030517578,176.53743
2023-10-12,AAPL,Apple,180.7100067138672,177.704
2023-10-13,AAPL,Apple,178.85000610351562,178.87059
2023-10-16,AAPL,Apple,178.72000122070312,179.69196
2023-10-17,AAPL,Apple,177.14999389648438,180.21265
2023-10-18,AAPL,Apple,175.83999633789062,180.31052
2023-10-19,AAPL,Apple,175.4600067138672,179.99805
2023-10-20,AAPL,Apple,172.8800048828125,179.43065
2023-10-23,AAPL,Apple,173.0,178.47176
2023-10-24,AAPL,Apple,173.44000244140625,177.40785
2023-10-25,AAPL,Apple,171.10000610351562,176.4385
2023-10-26,AAPL,Apple,166.88999938964844,175.35893
2023-10-27,AAPL,Apple,168.22000122070312,173.86792
2023-10-30,AAPL,Apple,170.2899932861328,172.46758
2023-10-31,AAPL,Apple,170.77000427246094,171.49219
2023-11-01,AAPL,Apple,173.97000122070312,170.92029
2023-11-02,AAPL,Apple,177.57000732421875,171.01878
2023-11-03,AAPL,Apple,176.64999389648438,171.9058
2023-11-06,AAPL,Apple,179.22999572753906,173.05806
2023-11-07,AAPL,Apple,181.82000732421875,174.55824
2023-11-08,AAPL,Apple,182.88999938964844,176.39125
2023-11-09,AAPL,Apple,182.41000366210938,178.33992
2023-11-10,AAPL,Apple,186.39999389648438,180.09146
2023-11-13,AAPL,Apple,184.8000030517578,181.99817
2023-11-14,AAPL,Apple,187.44000244140625,183.57768
2023-11-15,AAPL,Apple,188.00999450683594,185.10493
2023-11-16,AAPL,Apple,189.7100067138672,186.47588
2023-11-17,AAPL,Apple,189.69000244140625,187.79291
2023-11-20,AAPL,Apple,191.4499969482422,188.91385
2023-11-21,AAPL,Apple,190.63999938964844,189.9944
2023-11-22,AAPL,Apple,191.30999755859375,190.81818
2023-11-24,AAPL,Apple,189.97000122070312,191.47604
2023-11-27,AAPL,Apple,189.7899932861328,191.79256
2023-11-28,AAPL,Apple,190.39999389648438,191.85136
2023-11-29,AAPL,Apple,189.3699951171875,191.81258
2023-11-30,AAPL,Apple,189.9499969482422,191.58742
2023-12-01,AAPL,Apple,191.24000549316406,191.3461
2023-12-04,AAPL,Apple,189.42999267578125,191.2624
2023-12-05,AAPL,Apple,193.4199981689453,191.0597
2023-12-06,AAPL,Apple,192.32000732421875,191.28717
2023-12-07,AAPL,Apple,194.27000427246094,191.58762
2023-12-08,AAPL,Apple,195.7100067138672,192.14032
2023-12-11,AAPL,Apple,193.17999267578125,192.93884
2023-12-12,AAPL,Apple,194.7100067138672,193.49458
2023-12-13,AAPL,Apple,197.9600067138672,194.04515
2023-12-14,AAPL,Apple,198.11000061035156,194.89792
2023-12-15,AAPL,Apple,197.57000732421875,195.83171
2023-12-18,AAPL,Apple,195.88999938964844,196.6514
2023-12-19,AAPL,Apple,196.94000244140625,197.12003
2023-12-20,AAPL,Apple,194.8300018310547,197.46019
2023-12-21,AAPL,Apple,194.67999267578125,197.42366
2023-12-22,AAPL,Apple,193.60000610351562,197.16115
2023-12-26,AAPL,Apple,193.0500030517578,196.66014
2023-12-27,AAPL,Apple,193.14999389648438,196.0111
2023-12-28,AAPL,Apple,193.5800018310547,195.3565
2023-12-29,AAPL,Apple,192.52999877929688,194.81744
2024-01-02,AAPL,Apple,185.63999938964844,194.28032
2024-01-03,AAPL,Apple,184.25,193.00853
2024-01-04,AAPL,Apple,181.91000366210938,191.32895
2024-01-05,AAPL,Apple,181.17999267578125,189.31955
2024-01-08,AAPL,Apple,185.55999755859375,187.26228
2024-01-09,AAPL,Apple,185.13999938964844,185.91034
2024-01-10,AAPL,Apple,186.19000244140625,185.05028
2024-01-11,AAPL,Apple,185.58999633789062,184.71667
2024-01-12,AAPL,Apple,185.9199981689453,184.66957
2024-01-16,AAPL,Apple,183.6300048828125,184.8528
2024-01-17,AAPL,Apple,182.67999267578125,184.89537
2024-01-18,AAPL,Apple,188.6300048828125,184.76189
2024-01-19,AAPL,Apple,191.55999755859375,185.23128
2024-01-22,AAPL,Apple,193.88999938964844,186.31003
2024-01-23,AAPL,Apple,195.17999267578125,187.8996
2024-01-24,AAPL,Apple,194.5,189.76836
2024-01-25,AAPL,Apple,194.1699981689453,191.52112
2024-01-26,AAPL,Apple,192.4199981689453,192.98201
2024-01-29,AAPL,Apple,191.72999572753906,193.90196
2024-01-30,AAPL,Apple,188.0399932861328,194.32191
2024-01-31,AAPL,Apple,184.39999389648438,193.95926
2024-02-01,AAPL,Apple,186.86000061035156,192.7608
2024-02-02,AAPL,Apple,185.85000610351562,191.49405
2024-02-05,AAPL,Apple,187.67999267578125,190.17445
2024-02-06,AAPL,Apple,189.3000030517578,189.18439
2024-02-07,AAPL,Apple,189.41000366210938,188.67192
2024-02-08,AAPL,Apple,188.32000732421875,188.50598
2024-02-09,AAPL,Apple,188.85000610351562,188.44473
2024-02-12,AAPL,Apple,187.14999389648438,188.52689
2024-02-13,AAPL,Apple,185.0399932861328,188.48645
2024-02-14,AAPL,Apple,184.14999389648438,188.14722
2024-02-15,AAPL,Apple,183.86000061035156,187.57742
2024-02-16,AAPL,Apple,182.30999755859375,186.9018
2024-02-20,AAPL,Apple,181.55999755859375,186.0578
2024-02-21,AAPL,Apple,182.32000732421875,185.13004
2024-02-22,AAPL,Apple,184.3699951171875,184.34554
2024-02-23,AAPL,Apple,182.52000427246094,183.9637
2024-02-26,AAPL,Apple,181.16000366210938,183.64146
2024-02-27,AAPL,Apple,182.6300048828125,183.25394
2024-02-28,AAPL,Apple,181.4199981689453,183.05025
2024-02-29,AAPL,Apple,180.75,182.83014
2024-03-01,AAPL,Apple,179.66000366210938,182.55954
2024-03-04,AAPL,Apple,175.10000610351562,182.1687
2024-03-05,AAPL,Apple,170.1199951171875,181.23311
2024-03-06,AAPL,Apple,169.1199951171875,179.53386
2024-03-07,AAPL,Apple,169.0,177.47598
2024-03-08,AAPL,Apple,170.72999572753906,175.4103
2024-03-11,AAPL,Apple,172.75,173.75684
2024-03-12,AAPL,Apple,173.22999572753906,172.74828
2024-03-13,AAPL,Apple,171.1300048828125,172.28503
2024-03-14,AAPL,Apple,173.0,171.97
2024-03-15,AAPL,Apple,172.6199951171875,172.01193
2024-03-18,AAPL,Apple,173.72000122070312,172.21307
2024-03-19,AAPL,Apple,176.0800018310547,172.62213
2024-03-20,AAPL,Apple,178.6699981689453,173.37733
2024-03-21,AAPL,Apple,171.3699951171875,174.54457
2024-03-22,AAPL,Apple,172.27999877929688,174.99448
2024-03-25,AAPL,Apple,170.85000610351562,175.11992
2024-03-26,AAPL,Apple,169.7100067138672,174.85823
2024-03-27,AAPL,Apple,173.30999755859375,174.2671
2024-03-28,AAPL,Apple,171.47999572753906,173.9522
2024-04-01,AAPL,Apple,170.02999877929688,173.60197
2024-04-02,AAPL,Apple,168.83999633789062,173.11894
2024-04-03,AAPL,Apple,169.64999389648438,172.48111
2024-04-04,AAPL,Apple,168.82000732421875,171.915
2024-04-05,AAPL,Apple,169.5800018310547,171.35081
2024-04-08,AAPL,Apple,168.4499969482422,170.93999
2024-04-09,AAPL,Apple,169.6699981689453,170.5329
2024-04-10,AAPL,Apple,167.77999877929688,170.31854
2024-04-11,AAPL,Apple,175.0399932861328,170.02242
2024-04-12,AAPL,Apple,176.5500030517578,170.54312
2024-04-15,AAPL,Apple,173.38999938964844,171.62682
